league_id,season_id,game_id,date,shot_id,team_id,player_id,assist_player_id,assist_player,xg,x,y,minute,BodyPart,play_type,outcome,goal_flag,is_penalty,xg_penalty_const
5,2024,28048,2024-08-16 18:45:00,584609,282,3674,666148,Josué Casimir,0.024111762642860413,0.7919999694824219,0.6419999694824219,38,Left Foot,Open Play,Blocked Shot,0,False,
5,2024,28048,2024-08-16 18:45:00,584610,282,3674,,,0.028620878234505653,0.785,0.37400001525878906,38,Right Foot,Open Play,Saved Shot,0,False,
5,2024,28048,2024-08-16 18:45:00,584611,282,11794,666147,Yassine Kechta,0.0409565232694149,0.8530000305175781,0.6619999694824219,40,Right Foot,Open Play,Blocked Shot,0,False,
5,2024,28048,2024-08-16 18:45:00,584615,282,3701,666143,Christopher Operi,0.05654885247349739,0.925,0.6780000305175782,47,Left Foot,Set Piece,Goal,1,False,
5,2024,28048,2024-08-16 18:45:00,584617,282,11789,666147,Yassine Kechta,0.04747510701417923,0.87,0.3089999961853027,56,Right Foot,Open Play,Missed Shot,0,False,
5,2024,28048,2024-08-16 18:45:00,584625,161,10016,666168,João Neves,0.04868490993976593,0.8680000305175781,0.7140000152587891,85,Right Foot,Open Play,Goal,1,False,
5,2024,28048,2024-08-16 18:45:00,584614,161,12733,666160,Marco Asensio,0.10557940602302551,0.8980000305175782,0.6819999694824219,49,Left Foot,Open Play,Saved Shot,0,False,
5,2024,28048,2024-08-16 18:45:00,584607,161,7313,666162,Gonçalo Ramos,0.07218705117702484,0.8909999847412109,0.3390000152587891,2,Left Foot,Open Play,Goal,1,False,
5,2024,28048,2024-08-16 18:45:00,584618,161,7313,666160,Marco Asensio,0.0750918984413147,0.894000015258789,0.655,60,Left Foot,Open Play,Saved Shot,0,False,
5,2024,28048,2024-08-16 18:45:00,584612,161,2117,666159,Vitinha,0.3695286810398102,0.9119999694824219,0.38,44,Left Foot,Open Play,Saved Shot,0,False,
5,2024,28048,2024-08-16 18:45:00,584619,161,2117,666159,Vitinha,0.29475733637809753,0.9169999694824219,0.27899999618530275,62,Right Foot,Open Play,Saved Shot,0,False,
5,2024,28048,2024-08-16 18:45:00,584620,161,2117,,,0.029687687754631042,0.9480000305175781,0.2560000038146973,62,Left Foot,Open Play,Blocked Shot,0,False,
5,2024,28048,2024-08-16 18:45:00,584622,161,3226,666158,Warren Zaïre-Emery,0.0350736565887928,0.83,0.3170000076293945,80,Left Foot,Open Play,Missed Shot,0,False,
5,2024,28048,2024-08-16 18:45:00,584624,161,3226,666168,João Neves,0.4028494358062744,0.9230000305175782,0.4879999923706055,84,<NA>,Open Play,Goal,1,False,
